[2019-06-11 22:31:39 *2897.6]	NOTICE	swFactoryProcess_finish (ERRNO 1004): send 144 byte failed, because connection[fd=1] is closed
[2019-06-14 10:17:15 $1947.0]	WARNING	swManager_check_exit_status: worker#0[pid=1957] abnormal exit, status=255, signal=0
[2019-06-14 10:17:17 $1947.0]	WARNING	swManager_check_exit_status: worker#0[pid=1970] abnormal exit, status=255, signal=0
[2019-06-14 10:17:19 $1947.0]	WARNING	swManager_check_exit_status: worker#0[pid=1972] abnormal exit, status=255, signal=0
[2019-06-14 10:17:21 $1947.0]	WARNING	swManager_check_exit_status: worker#0[pid=1973] abnormal exit, status=255, signal=0
[2019-06-14 10:17:23 $1947.0]	WARNING	swManager_check_exit_status: worker#0[pid=1974] abnormal exit, status=255, signal=0
[2019-06-14 10:17:25 $1947.0]	WARNING	swManager_check_exit_status: worker#0[pid=1975] abnormal exit, status=255, signal=0
[2019-06-15 00:18:50 #5835.1]	INFO	Server is shutdown now
[2019-06-15 00:18:50 ^5840.10]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 00:18:50 ^5840.10]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 00:18:50 ^5842.12]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 00:18:50 ^5842.12]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 00:18:50 ^5844.14]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 00:18:50 ^5844.14]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 00:18:50 *5846.0]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 00:18:50 *5846.0]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 00:18:50 *5847.1]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 00:18:50 *5847.1]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 00:18:50 *5849.3]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 00:18:50 *5849.3]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 00:18:50 *5851.5]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 00:18:50 *5851.5]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 00:18:50 *5853.7]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 00:18:50 *5853.7]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 00:18:50 ^5843.13]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 00:18:50 ^5843.13]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 00:18:50 *5848.2]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 00:18:50 *5848.2]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 00:18:50 *5850.4]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 00:18:50 *5850.4]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 00:18:50 *5852.6]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 00:18:50 *5852.6]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 00:18:50 ^5841.11]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 00:18:50 ^5841.11]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 00:18:50 ^5845.15]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 00:18:50 ^5845.15]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 00:18:51 *5846.0]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 00:18:53 *5846.0]	WARNING	swWorker_try_to_exit (ERRNO 9012): worker exit timeout, forced to terminate
[2019-06-15 08:53:12 *16180.7]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 08:53:12 *16179.6]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 08:53:12 *16178.5]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 08:53:12 *16177.4]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 08:53:12 *16176.3]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 08:53:12 *16175.2]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 08:53:12 *16174.1]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 08:53:12 *16173.0]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-06-15 08:53:12 ^16172.15]	WARNING	swSignalfd_onSignal (ERRNO 707): Unable to find callback function for signal Hangup: 1
